transcript
ഈ ദിവസം വളരെ നല്ലതാണ്.
എനിക്ക് പുസ്തകങ്ങൾ വായിക്കാൻ ഇഷ്ടമാണ്.
എനിക്ക് നല്ല ശുഭദിനം വേണം.
നമുക്ക് നമുക്കെല്ലാം സന്തോഷം ഉണ്ടാവട്ടെ.
ഞാനൊരു സിനിമ കാണാൻ പോകുന്നു.
നിങ്ങൾക്ക് എന്തെങ്കിലും സഹായം വേണോ?
എന്റെ പ്രിയപ്പെട്ട ശാസ്ത്രജ്ഞൻ എവിടെ ജീവിക്കുന്നു?
അവർ ഇന്ന് സ്കൂളിൽ പോയി.
ഞങ്ങൾ അന്ന് ഒരു നല്ല യാത്ര നടത്തുകയാണെന്ന് കരുതുന്നു.
എല്ലാ ദിവസവും പുതിയ കാര്യങ്ങൾ പഠിക്കൂ.
എനിക്ക് നല്ല തീരുമാനങ്ങൾ എടുക്കാൻ ഇഷ്ടമാണ്.
നിനക്ക് കായികവുമായി ബന്ധപ്പെട്ട കാര്യങ്ങൾ ഇഷ്ടമാണോ?
ഞങ്ങൾ ഇന്ന് ഒരു മനോഹരമായ യാത്ര നടത്തുകയാണെന്ന് കരുതുന്നു.
അവൾ ഒരു വലിയ കലാകാരിയാണെന്ന് വിശ്വസിക്കുന്നു.
അവിടെ ഒരു മനോഹരമായ പർവതം ഉണ്ട്.
ഞാനൊരു പുതിയ ഭാഷ പഠിക്കാനാണ് ശ്രമിക്കുന്നത്.
എന്റെ പിതാവ് നല്ലൊരു പാചകക്കാരനാണ്.
നമുക്ക് കുറച്ച് നേരം വിശ്രമം എടുക്കാം.
ഞങ്ങൾ വളരെ നല്ല സുഹൃത്തുക്കളാണ്.
എനിക്ക് പ്രകൃതിയോട് ചേർന്ന സൗഹൃദം ഇഷ്ടമാണ്.
